Name,Location,Type,Priority,Latitude,Longitude,Another
Clam Beach,Jenner,Beach,2,38.5120096,-123.2427262,0
Little River State Beach,Arcata,Beach,2,41.016176,-124.10978,0
Pelican State Beach,Crescent City,Beach,2,41.8546988,-124.1507435,0
Pinnacle Gulch,Bodega Bay,Beach,2,38.3127621,-123.0139427,0
Stump Beach,Jenner,Beach,2,38.5817252,-123.3352393,0
Blind Beach,Jenner,Beach,2,38.4358754,-123.1216443,0
Wrights Beach,Bodega Bay,Beach,2,38.4027562,-123.0979013,0
Caspar Headlands State Beach,Caspar,Beach,2,39.3611955,-123.8163686,0
Schooner Gulch State Beach,Point Arena,Beach,2,38.8693929,-123.6570883,0
Pebble Beach,Sea Ranch,Beach,2,36.542286,-121.9230616,0
Shell Beach,Sea Ranch,Beach,2,38.57947,-123.3331,0
Glass Beach,Fort Bragg,Beach,2,39.4519955,-123.8137766,0
Carmet Beach,Bodega Bay,Beach,2,38.3733398,-123.0772483,0
Portuguese Beach,Bodega Bay,Beach,2,38.3805478,-123.0811107,0
Russian Gulch State Park,Mendocino,Beach,2,39.3307564,-123.7763416,0
Gualala Point Regional Park,Gualala,Beach,2,38.7603079,-123.5280204,0
Westport-Union Landing State Beach,Westport,Beach,2,39.6760019,-123.7904068,0
Stillwater Cove Regional Park,Jenner,Beach,2,38.5484514,-123.2953551,0
Prairie Creek Redwoods State Beach,Orick,Beach,2,41.3952802,-124.0457771,0
South Salmon Creek Beach,Bodega Bay,Beach,2,38.3393611,-123.0680577,0
Stengle Beach,Sea Ranch,Beach,2,38.7163665,-123.4573893,0
MacKerricher State Park,Fort Bragg,Beach,2,39.4947039,-123.7902736,0
Coleman Beach,Bodega Bay,Beach,2,38.3628923,-123.0699635,0
Fort Ross State Historic Park,Jenner,Beach,2,38.5164074,-123.2405305,0
Gleason Beach,Bodega Bay,Beach,2,38.3910108,-123.0858807,0
Clam Beach County Park,McKinleyville,Beach,2,40.9961425,-124.1141312,0
Vacation Beach,Guerneville,Beach,2,38.4857625,-123.0107079,0
Black Point Beach,Sea Ranch,Beach,2,38.6865817,-123.4321904,0
Arched Rock Beach,Bodega Bay,Beach,2,38.3710198,-123.0749887,0
Salt Point State Park,Jenner,Beach,2,38.569841,-123.3330447,0
North Salmon Creek Beach,Bodega Bay,Beach,2,38.3565995,-123.0677533,0
Walk-On Beach,Sea Ranch,Beach,2,38.6865817,-123.4321904,0
Doran Beach,Bodega Bay,Beach,2,38.3128378,-123.045845,0
Point Reyes National Seashore,Point Reyes Station,Beach,2,38.0433769,-122.7977727,0
Goat Rock Beach,Jenner,Beach,2,38.4446486,-123.1268263,0
Redwood National Park Beach,Orick,Beach,2,41.3952802,-124.0457771,0
Steelhead Beach,Forestville,Beach,2,38.4981721,-122.9000401,0
Sinkyone Wilderness State Park,Whitethorn,Beach,2,39.9147397,-123.9264679,0
Johnson's Beach,Guerneville,Beach,2,38.5000865,-122.9979354,0
Healdsburg Veterans Memorial Beach,Healdsburg,Beach,2,38.6034119,-122.8594215,0
Tomales Bay State Park,Inverness,Beach,2,38.1188248,-122.8868866,0
Sue-meg State Park,Trinidad,Beach,2,41.135342,-124.15464,0
Crescent Beach,Crescent City,Beach,2,39.055166,-84.581824,0
Monte Rio Public Beach,Monte Rio,Beach,2,38.466502,-123.0104978,0
Schoolhouse Beach,Bodega Bay,Beach,2,38.3760016,-123.0787062,0
Humboldt Lagoons State Park,Trinidad,Beach,2,41.2368985,-124.0976143,0
Manchester State Park,Manchester,Beach,2,38.957273,-123.7189293,0
Trinidad State Beach,Trinidad,Beach,2,41.0675101,-124.1494131,0
Miwok Beach,Bodega Bay,Beach,2,38.3601161,-123.0686009,0
Dillon Beach,Dillon Beach,Beach,2,38.2497341,-122.9647887,0
